VIX_ma20,VIX_ma50,VIX_mean,VIX_pct_ma20,VIX_pct_ma50,VIX_returns,VIX_std,VIX_trend_21d,VIX_trend_5d,VIX_vol,VIX_zscore,VXAZN,corr_with_VXAZN,mom_21d,mom_5d,regime,regime_0,regime_1,regime_2,regime_3,returns,vol_21d,vol_5d,timestep
24.557499999999997,25.735,23.69301587301587,0.9956225185788456,0.9500680007771517,-0.10668615272195836,5.027884757154158,0.013261500207210952,-0.04080031384856808,0.8304384956583652,0.15055717534237817,37.29,0.13114821524745202,0.013261500207210952,-0.04080031384856808,1.0,0.0,1.0,0.0,0.0,-0.10668615272195836,0.8304384956583652,1.0509664967986927,0
24.817500000000003,25.8002,23.702738095238093,1.0964037473556965,1.0546429872636647,0.1128834355828221,5.032322937399193,0.157872340425532,0.060405300077942314,0.9073551601465837,0.696946906705183,37.29,0.13114821524745202,0.157872340425532,0.060405300077942314,1.0,0.0,1.0,0.0,0.0,0.1128834355828221,0.9073551601465837,1.3598642067346112,1
24.9885,25.823600000000003,23.702896825396827,1.0424795405886709,1.0087671742127355,-0.04263138552002943,5.032396633589287,0.18355293048614252,-0.05134741442097601,0.8892766881941272,0.466398685456781,37.29,0.13114821524745202,0.18355293048614252,-0.05134741442097601,1.0,0.0,1.0,0.0,0.0,-0.04263138552002943,0.8892766881941272,1.305026948736647,2
25.0725,25.7604,23.68202380952381,0.9528367733572639,0.9273924317945373,-0.0829174664107486,5.020608234393272,0.055678303137428165,-0.1052434456928838,0.9416483369610561,0.041424500930279225,37.29,0.13114821524745202,0.055678303137428165,-0.1052434456928838,1.0,0.0,1.0,0.0,0.0,-0.0829174664107486,0.9416483369610561,1.412521818228279,3
25.127000000000002,25.686,23.659365079365077,0.9229116090261471,0.9028264424199954,-0.029300962745918757,5.009838407590817,0.04412426834759109,-0.15272195834855684,0.9456511672092814,-0.09368866641564777,37.29,0.13114821524745202,0.04412426834759109,-0.15272195834855684,1.0,0.0,1.0,0.0,0.0,-0.029300962745918757,0.9456511672092814,1.3576272701975518,4
25.1055,25.517400000000002,23.636388888888888,0.8488179880902591,0.8351164303573246,-0.08106942647692983,5.007272485553311,-0.035746606334841724,-0.12842535787321063,0.9901626937440717,-0.46460201548864183,37.29,0.13114821524745202,-0.035746606334841724,-0.12842535787321063,1.0,0.0,1.0,0.0,0.0,-0.08106942647692983,0.9901626937440717,1.275866296747632,5
25.188499999999998,25.422800000000002,23.630595238095243,0.9448756376918039,0.9361675346539327,0.11684655091506335,5.0062309425214995,0.09475620975161014,-0.1253215729511209,1.0668379460183615,0.03383878287872864,37.29,0.13114821524745202,0.09475620975161014,-0.1253215729511209,1.0,0.0,1.0,0.0,0.0,0.11684655091506335,1.0668379460183615,1.302798020191355,6
25.232499999999998,25.3078,23.621190476190478,0.9214306945407709,0.9186890998032227,-0.02310924369747902,5.004704656285323,0.050135501355013545,-0.1074856046065259,1.0706573227832719,-0.07416830795885344,37.29,0.13114821524745202,0.050135501355013545,-0.1074856046065259,1.0,0.0,1.0,0.0,0.0,-0.02310924369747902,1.0706573227832719,1.2923642432762708,7
25.1035,25.0814,23.615198412698412,0.9086382376959388,0.9094388670488888,-0.018924731182795806,5.004768598588528,0.019669199821189087,-0.04520719966513198,1.0734244502088264,-0.16088624215822875,37.29,0.13114821524745202,0.019669199821189087,-0.04520719966513198,1.0,0.0,1.0,0.0,0.0,-0.018924731182795806,1.0734244502088264,1.1698560694825741,8
24.9165,24.8304,23.609007936507933,0.8825477093492263,0.8856079644306978,-0.035949145111793035,5.005814249722776,-0.1339109885781805,-0.05174644243208293,0.966722768968385,-0.323425491986163,37.29,0.13114821524745202,-0.1339109885781805,-0.05174644243208293,1.0,0.0,1.0,0.0,0.0,-0.035949145111793035,0.966722768968385,1.1787188959066546,9
24.665,24.597400000000004,23.59734126984127,0.8599229677680925,0.8622862578971761,-0.03547066848567515,5.007973927962541,-0.17567042363000385,-0.004692632566869914,0.9697757767546197,-0.4767080069070051,37.29,0.13114821524745202,-0.17567042363000385,-0.004692632566869914,1.0,0.0,1.0,0.0,0.0,-0.03547066848567515,0.9697757767546197,1.0377335368188059,10
24.438,24.426199999999998,23.588214285714287,0.8822325885915377,0.882658784420008,0.01650165016501637,5.009588931306999,-0.17835365853658536,-0.09411764705882364,0.968669195371866,-0.404866409904241,37.29,0.13114821524745202,-0.17835365853658536,-0.09411764705882364,1.0,0.0,1.0,0.0,0.0,0.01650165016501637,0.968669195371866,0.3400122616417489,11
24.3265,24.275200000000005,23.582976190476195,0.9084742975767168,0.910394147113103,0.02504638218923949,5.010455549366928,-0.15325670498084287,-0.04946236559139783,0.9752433810287245,-0.29597631909209693,37.29,0.13114821524745202,-0.15325670498084287,-0.04946236559139783,1.0,0.0,1.0,0.0,0.0,0.02504638218923949,0.9752433810287245,0.45817007528530296,12
24.183,24.1728,23.57515873015873,0.8981515940950254,0.8985305798252582,-0.017194570135746767,5.011824541389143,-0.10727496917385937,-0.04778605874616393,0.9503356278609374,-0.37015636019143855,37.29,0.13114821524745202,-0.10727496917385937,-0.04778605874616393,1.0,0.0,1.0,0.0,0.0,-0.017194570135746767,0.9503356278609374,0.45614978022635677,13
23.9615,24.098799999999997,23.568650793650793,0.9185568516161342,0.9133234849868045,0.013351749539594948,5.012791661749464,-0.10492069947132976,0.0009095043201456932,0.9508887998453543,-0.3109346844681796,37.29,0.13114821524745202,-0.10492069947132976,0.0009095043201456932,1.0,0.0,1.0,0.0,0.0,0.013351749539594948,0.9508887998453543,0.4071059141869621,14
